feature,value,0,1,2,3,4,5,<s>
attn_0_0_outputs,0,0.0707587,0.31184098,-0.055610605,0.23623379,0.33345613,0.19445017,0.37587675
attn_0_0_outputs,1,0.25806728,0.22514886,0.14830817,0.3776908,0.377842,0.05942981,-4.7199135
attn_0_0_outputs,2,-0.16588639,-0.24171172,0.6976214,-0.15922171,-0.17004721,-0.27335393,1.5861474
attn_0_0_outputs,3,0.026841026,0.22838801,-0.15874626,-0.07968921,0.14277026,-0.36178124,0.14705983
attn_0_0_outputs,4,-0.45866153,-0.013069878,-0.66289437,-0.3505259,1.0538241,-0.36067834,1.0852828
attn_0_0_outputs,5,-0.024027254,0.082024485,-0.61105984,-0.048350062,-0.10146952,-0.1683321,0.80953145
attn_0_0_outputs,<pad>,0.8734261,-0.8305059,-0.29758593,-0.80461943,1.0550766,-1.1093345,1.5032474
attn_0_0_outputs,<s>,0.14120442,0.19487137,-0.61052406,0.10304629,-0.07723618,-0.1034345,2.6628773
attn_0_0_outputs,_,1.0160356,-0.2622596,0.4876027,-0.821067,1.0850531,-0.1268758,-0.868044
attn_0_0_outputs,_,0.36308295,0.16296992,1.1333138,-0.5501753,1.7583653,-1.4237902,-0.061185706
attn_0_0_outputs,_,0.7484969,0.884711,-0.2392686,-0.67633915,1.0051658,-0.47995213,-0.09603305
attn_0_0_outputs,_,1.6099331,-0.21045934,-0.11235441,-0.6042593,0.64470464,-0.293901,-0.33321673
attn_0_0_outputs,_,0.5208758,-0.024244996,-0.3457893,-0.7607569,0.4216707,-0.82511693,-1.2966024
attn_0_0_outputs,_,0.9088387,0.10990152,0.14392899,0.6486199,1.2902946,-1.2542902,-0.22682515
attn_0_0_outputs,_,0.06716395,0.24745111,-0.4478627,-0.81417626,0.89950997,-0.72635406,-0.6358318
attn_0_0_outputs,_,0.8542679,-0.2974485,0.67145175,-0.49096128,0.52732396,-0.96132404,-0.43774772
attn_0_0_outputs,_,0.7696041,-0.307905,-0.20090358,-0.47847167,1.0529441,0.2814195,0.58365583
attn_0_0_outputs,_,1.3814359,0.61326146,-0.28138644,-1.1101178,0.24306189,-0.72292835,-0.7223741
attn_0_0_outputs,_,1.1397634,-0.3645454,-1.1820801,-1.4861461,1.5777411,-0.47832137,-0.43664607
attn_0_0_outputs,_,1.4305078,-0.54144645,-0.08434462,-0.56395805,0.7453458,-1.6370596,-0.2212947
attn_0_0_outputs,_,0.23522782,-0.5378716,0.57148474,-0.97775406,0.76801187,-1.7491212,-0.64515585
attn_0_0_outputs,_,-0.3627284,1.2352097,0.09800747,-0.6775419,0.6267524,-0.38559878,-0.12190222
attn_0_0_outputs,_,1.3901228,1.5998173,1.0831047,-0.5071756,0.59376854,-1.2400892,-0.37247398
attn_0_0_outputs,_,0.21040466,-0.05854196,0.48581123,1.4402827,0.337387,-1.3960849,-0.15076548
attn_0_0_outputs,_,-0.057349112,-0.063602746,-0.60604686,0.04116718,0.43634742,-0.75722075,-0.29354027
attn_0_0_outputs,_,1.1103545,1.0010864,0.016032081,-1.0347393,-0.032956243,0.3359641,-0.022662489
attn_0_0_outputs,_,-0.5623894,-0.1775076,1.0393744,-0.09319558,-0.79746366,0.031395186,-0.16654803
attn_0_0_outputs,_,-0.4881562,0.08439679,0.21570402,0.18751013,-0.3355677,-0.9044795,0.058111865
attn_0_0_outputs,_,1.0459095,0.429311,0.996726,0.059023272,-0.3165057,-1.5815364,0.008213819
attn_0_0_outputs,_,1.5818952,0.63033414,-1.0604514,-1.3364987,0.9664304,-1.4869788,-1.0226167
attn_0_0_outputs,_,1.2840042,1.4348897,1.1641773,-0.8692195,-0.08911966,-0.9519672,-0.19520728
attn_0_0_outputs,_,-0.21320723,-1.0929103,-0.8003942,1.3970562,-0.13433146,-0.28887358,-0.24041605
attn_0_0_outputs,_,0.64903545,0.49907643,0.55347127,1.1712928,-0.849262,-0.7267866,0.14968728
attn_0_0_outputs,_,0.701134,-1.0395182,-1.419967,0.22985439,0.99336845,-0.7508486,0.36696434
attn_0_0_outputs,_,0.7548978,1.1989466,-0.02489147,0.85224134,-0.7522103,-1.2505543,0.11802996
attn_0_0_outputs,_,1.164139,-0.6880765,-0.35254824,0.6057872,-0.8210156,0.444853,0.1322798
attn_0_0_outputs,_,-0.73689955,-0.4381432,0.40596008,-1.1388018,-0.22172916,1.0175929,0.68590784
attn_0_0_outputs,_,-0.49358657,1.1588981,0.0035303107,-0.13789631,-0.83905387,-0.6555208,0.24431907
attn_0_0_outputs,_,-0.67495304,-0.4258774,-0.14689648,0.93797505,0.6556071,0.6548534,0.45723245
attn_0_0_outputs,_,-0.26012295,-0.35033563,-0.44536823,-0.35361615,1.7439905,-1.1165488,-0.24484643
attn_0_0_outputs,_,-0.087096415,-0.37240735,0.05138127,0.090406634,0.13321133,0.46913588,-0.17077093
attn_0_0_outputs,_,1.2775309,0.20394279,-0.38799542,0.23472087,0.67304796,0.05257406,-0.19143656
attn_0_0_outputs,_,0.47263217,0.19402555,0.100574076,0.5861893,-0.14806716,-0.20034899,-0.5362748
attn_0_0_outputs,_,0.041197926,-0.16315709,0.49250805,-0.8429235,0.1319703,0.5207724,-0.27020887
attn_0_0_outputs,_,0.4266413,0.33364883,-0.30277947,-0.5060835,0.5164113,-0.07569143,0.24712357
attn_0_0_outputs,_,0.196738,-0.21820043,1.0446086,-0.64310485,-0.12670544,-0.9553595,0.54911494
attn_0_0_outputs,_,0.08091325,-0.54677546,0.2818611,0.88894814,0.29963306,-0.09373717,-0.58868784
attn_0_0_outputs,_,0.5641552,-0.012435447,-0.40042153,-0.75292844,0.4981221,0.45088536,-0.26905665
attn_0_0_outputs,_,0.18821491,-0.52200466,0.49148372,-0.21575764,-0.08197351,0.42153758,-0.4455406
attn_0_0_outputs,_,0.14299822,-0.7332624,0.45681307,-0.4980586,-0.3036832,0.8501915,0.32505134
attn_0_1_outputs,0,0.31075662,0.21873419,0.15107383,0.11248558,0.054547325,0.12060173,-2.866141
attn_0_1_outputs,1,1.9195106,-0.173872,-0.31325412,-0.32138804,-0.24626866,-0.39239317,-1.1724117
attn_0_1_outputs,2,1.3132249,-0.21526736,-0.34908623,-0.47061402,-0.8275516,-0.15650928,-0.7992764
attn_0_1_outputs,3,1.7456969,-0.034725644,0.010242126,-0.47082013,-0.3534797,0.13313498,-0.088767685
attn_0_1_outputs,4,0.32724223,0.579594,0.2951551,-0.2441396,0.010308395,-0.27068365,-0.1739188
attn_0_1_outputs,5,1.3477817,-0.6570367,-0.51434344,-0.4409606,-0.346548,-0.4913456,-1.0213308
attn_0_1_outputs,<pad>,-0.8937045,0.15699053,0.35395476,-0.47620353,-0.022563437,0.11441575,1.4345545
attn_0_1_outputs,<s>,-0.9926527,-0.24116796,-0.43989733,-0.28256923,-0.1447552,-0.39372224,5.114672
attn_0_1_outputs,_,0.074876145,0.2709325,0.20436443,0.55538577,0.470919,0.46822178,-0.1956622
attn_0_1_outputs,_,-0.2904217,0.29461974,0.11601567,-0.07905714,-0.10787066,0.58546174,-0.42786086
attn_0_1_outputs,_,-0.36545166,-0.11731229,0.4714171,-0.29927048,0.62121314,0.56324047,-0.5762426
attn_0_1_outputs,_,-0.02304497,0.28304768,0.5413344,-0.12411386,-0.24224076,0.3666681,-0.27055457
attn_0_1_outputs,_,-0.17903636,0.2503399,-0.09171579,0.26188928,0.42586535,0.006270446,-0.20968454
attn_0_1_outputs,_,2.4309671e-05,0.12036579,0.38707933,0.19161789,0.07158638,0.4111482,-0.9318525
attn_0_1_outputs,_,-0.1842695,0.28445965,0.5948125,-0.4513648,0.57154226,-0.012965391,0.058987975
attn_0_1_outputs,_,-0.46779916,-0.5351855,0.020305373,-0.06663897,-0.15963383,0.24928318,0.06631236
attn_0_1_outputs,_,-0.26826057,0.2164107,0.1451559,-0.22186662,0.0714367,0.33331987,-0.7193231
attn_0_1_outputs,_,-0.27845547,0.6890991,0.7908065,-0.20368266,0.3643746,0.8330624,0.08190126
attn_0_1_outputs,_,-0.9667164,-0.059858948,-0.31129763,0.116147086,-0.3973435,0.31864762,0.039233807
attn_0_1_outputs,_,-0.32761654,0.08257833,-0.15264241,-0.33065978,-0.19925587,0.43104172,0.3729477
attn_0_1_outputs,_,-0.29485616,0.23990223,0.23810378,-0.21226637,0.09018181,0.49890366,0.47057223
attn_0_1_outputs,_,0.36302742,0.22118677,0.016568357,0.3152366,-0.31474683,0.40564692,-0.85809314
attn_0_1_outputs,_,-0.79132396,0.0018251411,0.23221225,-0.3500397,-0.07689223,0.028867144,-0.012185283
attn_0_1_outputs,_,-0.49175072,-0.2664821,0.09738875,0.18239337,-0.53601444,-0.22097397,0.34322792
attn_0_1_outputs,_,0.24667197,0.13090312,0.7534842,-0.35839155,0.55382705,0.28615618,-0.14259413
attn_0_1_outputs,_,-0.06693014,-0.25926808,-0.57665485,0.5316068,-0.32299653,0.6732756,-0.16441822
attn_0_1_outputs,_,0.15227386,0.2392177,0.6427976,0.10716575,0.122998424,0.5526952,-0.07965199
attn_0_1_outputs,_,0.13050714,-0.15114957,0.41378444,0.7811077,0.25414705,-0.047028393,-0.16020466
attn_0_1_outputs,_,-0.17130409,-0.5019236,-0.21224283,-0.291329,-0.14741774,0.3589788,0.3424031
attn_0_1_outputs,_,-0.7400523,0.2932819,-0.019731922,0.26734424,-0.6112512,0.5960174,-0.3459457
