epoch,epoch_loss,split,loss,acc,sample_fn
0,1.60908,train,1.3426952,0.41579718309859154,gumbel_soft
0,1.60908,val,1.1248502,0.46479449507160125,gumbel_soft
0,1.60908,test,1.7511941,0.29483230270568495,gumbel_soft
1,1.3266026,train,1.3216072,0.421656338028169,gumbel_soft
1,1.3266026,val,1.1132693,0.4706341826297192,gumbel_soft
1,1.3266026,test,1.6438626,0.31052159720466194,gumbel_soft
2,1.314226,train,1.3044045,0.4300769953051643,gumbel_soft
2,1.314226,val,1.0881357,0.4838757671564069,gumbel_soft
2,1.314226,test,1.6229095,0.3104066573182226,gumbel_soft
3,1.3013891,train,1.2992194,0.4358760563380282,gumbel_soft
3,1.3013891,val,1.1072371,0.4812720848056537,gumbel_soft
3,1.3013891,test,1.7175641,0.300671248936806,gumbel_soft
4,1.2739239,train,1.2453443,0.4562403755868545,gumbel_soft
4,1.2739239,val,1.0539271,0.4993490794123117,gumbel_soft
4,1.2739239,test,1.5998957,0.3168203029815407,gumbel_soft
5,1.2121801,train,1.1616703,0.48915680751173707,gumbel_soft
5,1.2121801,val,0.99909234,0.5176120513297378,gumbel_soft
5,1.2121801,test,1.6034806,0.3170386887657755,gumbel_soft
6,1.125904,train,1.1023195,0.5204957746478873,gumbel_soft
6,1.125904,val,1.0116315,0.5242700390552353,gumbel_soft
6,1.125904,test,1.7297298,0.2922691432380865,gumbel_soft
7,1.0556551,train,1.0112981,0.5526159624413145,gumbel_soft
7,1.0556551,val,0.9761625,0.5372512553468477,gumbel_soft
7,1.0556551,test,1.8438004,0.2652007999816096,gumbel_soft
8,0.98601335,train,0.9601047,0.5694572769953051,gumbel_soft
8,0.98601335,val,0.9807806,0.5446159568532639,gumbel_soft
8,0.98601335,test,2.0471911,0.2518677731546401,gumbel_soft
9,0.948109,train,0.9552146,0.5722516431924882,gumbel_soft
9,0.948109,val,1.0565507,0.5361353914822392,gumbel_soft
9,0.948109,test,2.278729,0.23793705891818578,gumbel_soft
10,0.9253672,train,0.8931171,0.5917971830985915,gumbel_soft
10,0.9253672,val,1.0820773,0.5373628417333085,gumbel_soft
10,0.9253672,test,2.2146795,0.23629341854210248,gumbel_soft
11,0.8913049,train,0.9025524,0.5920450704225352,gumbel_soft
11,0.8913049,val,1.1421086,0.5306676585456575,gumbel_soft
11,0.8913049,test,2.5360305,0.22784533688880715,gumbel_soft
12,0.86956054,train,0.86659735,0.6085032863849765,gumbel_soft
12,0.86956054,val,1.1495639,0.5371396689603868,gumbel_soft
12,0.86956054,test,2.6448786,0.2328107399829889,gumbel_soft
13,0.8382289,train,0.8172307,0.6262384976525821,gumbel_soft
13,0.8382289,val,1.1243706,0.5454342570206435,gumbel_soft
13,0.8382289,test,2.537287,0.24008643479460243,gumbel_soft
14,0.79746795,train,0.7668333,0.6485408450704225,gumbel_soft
14,0.79746795,val,1.0597352,0.5736284173330853,gumbel_soft
14,0.79746795,test,2.7668314,0.2402588446242615,gumbel_soft
15,0.7459845,train,0.7219757,0.6700469483568076,gumbel_soft
15,0.7459845,val,1.0059965,0.6015250139482983,gumbel_soft
15,0.7459845,test,2.8310492,0.25276430426886737,gumbel_soft
16,0.70585006,train,0.69611776,0.6910647887323944,gumbel_soft
16,0.70585006,val,0.9560986,0.6155848986423657,gumbel_soft
16,0.70585006,test,3.0507975,0.26101698811521573,gumbel_soft
17,0.66584176,train,0.6410968,0.7196769953051643,gumbel_soft
17,0.66584176,val,0.93992597,0.6423656313929701,gumbel_soft
17,0.66584176,test,3.3173707,0.25997103514861725,gumbel_soft
18,0.6101545,train,0.56935394,0.7647399061032863,gumbel_soft
18,0.6101545,val,0.9177023,0.6695927096894179,gumbel_soft
18,0.6101545,test,3.9828823,0.2555343555320567,gumbel_soft
19,0.5207174,train,0.4758173,0.8144901408450704,gumbel_soft
19,0.5207174,val,0.88424623,0.7072717128510322,gumbel_soft
19,0.5207174,test,4.8996844,0.24569550125284476,gumbel_soft
20,0.43192843,train,0.38669083,0.8567887323943661,gumbel_soft
20,0.43192843,val,0.8216474,0.7493397805467733,gumbel_soft
20,0.43192843,test,6.397237,0.24156915932967057,gumbel_soft
21,0.35943955,train,0.33158463,0.8815849765258216,gumbel_soft
21,0.35943955,val,0.7586643,0.7800632322856611,gumbel_soft
21,0.35943955,test,7.66977,0.23790257695225397,gumbel_soft
22,0.31412348,train,0.2921747,0.89741220657277,gumbel_soft
22,0.31412348,val,0.7106595,0.7933792077366562,gumbel_soft
22,0.31412348,test,8.902298,0.23287970391485252,gumbel_soft
23,0.28012335,train,0.26244357,0.9123455399061032,gumbel_soft
23,0.28012335,val,0.7097724,0.7950901989957225,gumbel_soft
23,0.28012335,test,9.913263,0.2339831268246707,gumbel_soft
24,0.2488962,train,0.23530427,0.9228469483568075,gumbel_soft
24,0.2488962,val,0.68942803,0.8125720662079227,gumbel_soft
24,0.2488962,test,10.65685,0.23009815866301925,gumbel_soft
25,0.22157979,train,0.19735228,0.9381107981220658,gumbel_soft
25,0.22157979,val,0.66759014,0.8289380695555142,gumbel_soft
25,0.22157979,test,11.559846,0.2299717247879359,gumbel_soft
26,0.18540621,train,0.16715662,0.9503323943661972,gumbel_soft
26,0.18540621,val,0.6583809,0.8369722893806956,gumbel_soft
26,0.18540621,test,12.43591,0.22945449529895864,gumbel_soft
27,0.15366083,train,0.14069235,0.9603605633802816,gumbel_soft
27,0.15366083,val,0.7539372,0.8274502510693695,gumbel_soft
27,0.15366083,test,13.597956,0.22904071170777685,gumbel_soft
28,0.13039313,train,0.11889306,0.9677521126760563,gumbel_soft
28,0.13039313,val,0.6915323,0.8495071601264645,gumbel_soft
28,0.13039313,test,14.811185,0.2289142778326935,gumbel_soft
29,0.11367519,train,0.10591581,0.9723568075117371,gumbel_soft
29,0.11367519,val,0.6635872,0.8573925981030315,gumbel_soft
29,0.11367519,test,15.80194,0.2281211926162617,gumbel_soft
30,0.10065425,train,0.09103757,0.9772319248826291,gumbel_soft
30,0.10065425,val,0.65657395,0.8637902175934536,gumbel_soft
30,0.10065425,test,16.927301,0.22666145605848143,gumbel_soft
31,0.084611356,train,0.079843655,0.9802967136150235,gumbel_soft
31,0.084611356,val,0.6603131,0.8678073275060443,gumbel_soft
31,0.084611356,test,17.868889,0.22294889772648904,gumbel_soft
32,0.07256156,train,0.06831666,0.9834366197183099,gumbel_soft
32,0.07256156,val,0.677494,0.8655384043146737,gumbel_soft
32,0.07256156,test,19.027458,0.22402933265901934,gumbel_soft
33,0.06139525,train,0.055304017,0.9875906103286385,gumbel_soft
33,0.06139525,val,0.6224481,0.8833178352241027,gumbel_soft
33,0.06139525,test,19.952564,0.2241672605227466,gumbel_soft
34,0.054338586,train,0.050859798,0.9892507042253521,gumbel_soft
34,0.054338586,val,0.6459005,0.8854379765668589,gumbel_soft
34,0.054338586,test,20.713993,0.221822486839383,gumbel_soft
35,0.049064815,train,0.046205007,0.9904600938967136,gumbel_soft
35,0.049064815,val,0.6298166,0.8957783150455645,gumbel_soft
35,0.049064815,test,21.205212,0.22052366612261787,gumbel_soft
36,0.046718404,train,0.0436758,0.9917821596244132,gumbel_soft
36,0.046718404,val,0.6519112,0.8876325088339223,gumbel_soft
36,0.046718404,test,22.463554,0.22216730649870117,gumbel_soft
37,0.043025628,train,0.0409483,0.9919173708920188,gumbel_soft
37,0.043025628,val,0.65097344,0.8911660777385159,gumbel_soft
37,0.043025628,test,23.044178,0.22215581251005723,gumbel_soft
38,0.042055365,train,0.039448798,0.9926460093896714,gumbel_soft
38,0.042055365,val,0.65080243,0.8887483726985308,gumbel_soft
38,0.042055365,test,23.595516,0.2219719086917542,gumbel_soft
39,0.038467195,train,0.03616837,0.9934572769953052,gumbel_soft
39,0.038467195,val,0.63625145,0.8911660777385159,gumbel_soft
39,0.038467195,test,24.59811,0.2192708213604285,gumbel_soft
40,0.036834735,train,0.03678966,0.9934572769953052,gumbel_soft
40,0.036834735,val,0.6467496,0.8930258508461968,gumbel_soft
40,0.036834735,test,25.505838,0.22048918415668606,gumbel_soft
41,0.036158033,train,0.034454495,0.9940206572769953,gumbel_soft
41,0.036158033,val,0.6439817,0.8915008368978985,gumbel_soft
41,0.036158033,test,26.150574,0.21914438748534518,gumbel_soft
42,0.03447719,train,0.03249393,0.9946892018779343,gumbel_soft
42,0.03447719,val,0.65868455,0.8877068997582295,gumbel_soft
42,0.03447719,test,26.628172,0.2185696880531482,gumbel_soft
43,0.03289833,train,0.033893067,0.9943962441314554,gumbel_soft
43,0.03289833,val,0.6507208,0.889789845638832,gumbel_soft
43,0.03289833,test,27.271475,0.21636284223351188,gumbel_soft
44,0.03297328,train,0.030862186,0.9948995305164319,gumbel_soft
44,0.03297328,val,0.6421046,0.8940301283243445,gumbel_soft
44,0.03297328,test,27.98338,0.21782257879129216,gumbel_soft
