epoch,epoch_loss,split,loss,acc,sample_fn
0,0.67552525,train,0.40113327,0.8337775862068966,gumbel_soft
0,0.67552525,val,0.38581604,0.8468448275862069,gumbel_soft
0,0.67552525,test,0.3908143,0.8491906779661017,gumbel_soft
1,0.30561852,train,0.24047124,0.9111724137931034,gumbel_soft
1,0.30561852,val,0.2413695,0.9115258620689655,gumbel_soft
1,0.30561852,test,0.22922549,0.9159745762711864,gumbel_soft
2,0.2047365,train,0.19575699,0.9271275862068965,gumbel_soft
2,0.2047365,val,0.2015128,0.9251293103448276,gumbel_soft
2,0.2047365,test,0.15094031,0.9465593220338983,gumbel_soft
3,0.17252292,train,0.15689375,0.9405275862068966,gumbel_soft
3,0.17252292,val,0.1646838,0.9391810344827586,gumbel_soft
3,0.17252292,test,0.16494624,0.9334322033898305,gumbel_soft
4,0.1526044,train,0.14457184,0.9458706896551724,gumbel_soft
4,0.1526044,val,0.14717029,0.9448103448275862,gumbel_soft
4,0.1526044,test,0.15978861,0.9330423728813559,gumbel_soft
5,0.1467767,train,0.14312159,0.9451793103448276,gumbel_soft
5,0.1467767,val,0.14714177,0.944301724137931,gumbel_soft
5,0.1467767,test,0.15155615,0.9389533898305085,gumbel_soft
6,0.14310418,train,0.14172679,0.9463793103448276,gumbel_soft
6,0.14310418,val,0.14515625,0.9457068965517241,gumbel_soft
6,0.14310418,test,0.19478916,0.9218686440677966,gumbel_soft
7,0.1366497,train,0.13373746,0.9481741379310344,gumbel_soft
7,0.1366497,val,0.1388441,0.9466551724137932,gumbel_soft
7,0.1366497,test,0.16531222,0.9376610169491525,gumbel_soft
8,0.12828162,train,0.12761492,0.9506103448275862,gumbel_soft
8,0.12828162,val,0.132913,0.9496724137931034,gumbel_soft
8,0.12828162,test,0.3212475,0.8881822033898306,gumbel_soft
9,0.13288142,train,0.1292759,0.9514224137931034,gumbel_soft
9,0.13288142,val,0.13357966,0.9508793103448275,gumbel_soft
