feature,value,0,1,2,3,4
attn_0_0_outputs,0,4.8109307,-3.8259342,4.301723,-0.36922017,-3.1878572
attn_0_0_outputs,1,-2.011539,0.01987097,-0.050517604,0.93740153,0.59487617
attn_0_0_outputs,2,-1.4684765,-0.6816619,-0.030077357,1.1393846,2.4730139
attn_0_0_outputs,3,-4.225856,-2.2613022,-0.55320966,1.0789547,2.3264709
attn_0_0_outputs,4,-2.9419963,-0.594959,-1.5648962,0.6848871,3.0779483
attn_0_0_outputs,</s>,-0.21211201,-0.060980055,-0.269344,0.39470032,1.3235058
attn_0_0_outputs,<pad>,-0.15876803,-0.5836672,0.21785894,-0.20281807,0.21429415
attn_0_0_outputs,<s>,-3.6722383,1.3106874,0.6204695,1.5729983,-1.9793932
attn_0_0_outputs,_,0.7094243,0.9040392,-0.06266963,0.0084862495,-2.275702
attn_0_0_outputs,_,0.601904,1.3731582,0.23520455,0.19291782,-1.957424
attn_0_0_outputs,_,-0.20015146,-0.47059426,0.076622665,0.711056,0.45018908
attn_0_0_outputs,_,0.12101855,0.06269661,-0.49710497,0.31372246,0.6322808
attn_0_0_outputs,_,-0.45947605,-0.002873823,-0.27576104,-0.5637337,-0.08006236
attn_0_0_outputs,_,-0.070651114,0.13104554,-0.24457906,-0.23467202,0.10784245
attn_0_0_outputs,_,-0.73457617,-0.11101665,-0.18582694,0.29627734,0.030259911
attn_0_0_outputs,_,0.17437163,0.57612044,0.029427871,0.3809965,-0.17441627
attn_0_0_outputs,_,-0.23952499,0.1257402,-0.39245477,-0.61839443,-0.3428987
attn_0_0_outputs,_,-0.24501085,0.11511345,0.070918724,0.094996184,0.11151949
attn_0_0_outputs,_,-0.38297686,0.38729212,-0.10069555,0.42134675,0.05648619
attn_0_0_outputs,_,-0.70735115,0.7460427,0.14305273,0.118446425,-0.31002817
attn_0_1_outputs,0,5.1090107,0.25115594,-1.6676229,-0.84409624,-1.1007105
attn_0_1_outputs,1,-1.3373505,7.799014,-3.0491152,-4.323689,-1.7481073
attn_0_1_outputs,2,-0.5996253,-1.9708618,0.21220838,0.49751663,1.4039714
attn_0_1_outputs,3,-2.348924,-3.4070477,-0.15773839,1.7800022,2.1959682
attn_0_1_outputs,4,-0.002469228,-4.156676,-1.0375797,1.0814576,3.472031
attn_0_1_outputs,</s>,-1.896736,-1.9351848,1.8607807,0.5059221,-0.124853835
