epoch,epoch_loss,split,loss,acc,sample_fn
0,1.2258736,train,0.7663831,0.780353324818355,gumbel_soft
0,1.2258736,val,0.81230307,0.7760474416634482,gumbel_soft
0,1.2258736,test,0.36973503,0.8854286983562861,gumbel_soft
1,0.70737386,train,0.67608273,0.7913222077186876,gumbel_soft
1,0.70737386,val,0.71842784,0.7905490425704212,gumbel_soft
1,0.70737386,test,0.34641325,0.8859617947578854,gumbel_soft
2,0.66336554,train,0.65519667,0.7936030055066646,gumbel_soft
2,0.66336554,val,0.69384974,0.7925299313541057,gumbel_soft
2,0.66336554,test,0.36641937,0.8575244335850734,gumbel_soft
3,0.6464612,train,0.6384383,0.8000149713906083,gumbel_soft
3,0.6464612,val,0.67992544,0.7977250925037687,gumbel_soft
3,0.6464612,test,0.40032545,0.8187805419813416,gumbel_soft
4,0.62981635,train,0.618851,0.8070070786606219,gumbel_soft
4,0.62981635,val,0.6493866,0.8064335280999664,gumbel_soft
4,0.62981635,test,0.40978187,0.8136661483784985,gumbel_soft
5,0.61157,train,0.6044304,0.812979259945448,gumbel_soft
5,0.61157,val,0.6262908,0.8117906487099306,gumbel_soft
5,0.61157,test,0.4694624,0.795812972012439,gumbel_soft
6,0.6023733,train,0.58689255,0.8188064058837565,gumbel_soft
6,0.6023733,val,0.61291534,0.8169608930195472,gumbel_soft
6,0.6023733,test,0.38906854,0.8386328298533985,gumbel_soft
7,0.58622724,train,0.58289415,0.8213421851680305,gumbel_soft
7,0.58622724,val,0.59896845,0.8194027433440891,gumbel_soft
7,0.58622724,test,0.39430702,0.8372667703243003,gumbel_soft
8,0.57464856,train,0.57374394,0.822296611319307,gumbel_soft
8,0.57464856,val,0.5973428,0.8205364595661978,gumbel_soft
8,0.57464856,test,0.31872666,0.8813916037316748,gumbel_soft
9,0.5547537,train,0.5419251,0.8329894592052999,gumbel_soft
9,0.5547537,val,0.5499131,0.8336427174305755,gumbel_soft
9,0.5547537,test,0.38112164,0.8440082185695247,gumbel_soft
10,0.5313633,train,0.5321682,0.8353404353867532,gumbel_soft
10,0.5313633,val,0.542441,0.8334060074501352,gumbel_soft
10,0.5313633,test,0.35601872,0.8635939582407819,gumbel_soft
11,0.52469784,train,0.5122235,0.8391838720694672,gumbel_soft
11,0.52469784,val,0.52119917,0.8400588037425094,gumbel_soft
11,0.52469784,test,0.32773718,0.8725455353176366,gumbel_soft
12,0.5108528,train,0.51459295,0.843324397284564,gumbel_soft
12,0.5108528,val,0.5200326,0.8421393598863792,gumbel_soft
12,0.5108528,test,0.30821577,0.8857230119946691,gumbel_soft
13,0.5111007,train,0.5000878,0.8440238419395436,gumbel_soft
13,0.5111007,val,0.4975721,0.8453411738323345,gumbel_soft
13,0.5111007,test,0.26285678,0.9011883607285651,gumbel_soft
14,0.49706176,train,0.51580906,0.8405453329029059,gumbel_soft
14,0.49706176,val,0.5176953,0.8413918546849889,gumbel_soft
14,0.49706176,test,0.29862958,0.8963460684140382,gumbel_soft
15,0.49601036,train,0.5000941,0.8434483791130387,gumbel_soft
15,0.49601036,val,0.50071657,0.8432232424283952,gumbel_soft
15,0.49601036,test,0.27738458,0.9021046201688139,gumbel_soft
16,0.49409893,train,0.4829981,0.8486813479865819,gumbel_soft
16,0.49409893,val,0.4860417,0.8466119326746981,gumbel_soft
16,0.49409893,test,0.256094,0.9039982230119946,gumbel_soft
17,0.49479648,train,0.48766327,0.8473807084274894,gumbel_soft
17,0.49479648,val,0.49929914,0.8465122653145128,gumbel_soft
17,0.49479648,test,0.28048146,0.8997334517992004,gumbel_soft
18,0.4835368,train,0.4846072,0.8481854206726833,gumbel_soft
18,0.4835368,val,0.48914278,0.8470728942155555,gumbel_soft
18,0.4835368,test,0.2768196,0.9048367392270102,gumbel_soft
19,0.47868335,train,0.4698893,0.850213576244146,gumbel_soft
19,0.47868335,val,0.4726291,0.8492655761396339,gumbel_soft
19,0.47868335,test,0.29904738,0.8903265215459796,gumbel_soft
20,0.47982538,train,0.47558302,0.8499796482658919,gumbel_soft
20,0.47982538,val,0.46424377,0.8522057632651027,gumbel_soft
20,0.47982538,test,0.30773804,0.8888882718791649,gumbel_soft
21,0.47567979,train,0.47655156,0.8512335022293336,gumbel_soft
21,0.47567979,val,0.46895158,0.8523926395654503,gumbel_soft
21,0.47567979,test,0.30769658,0.8916148378498445,gumbel_soft
22,0.47281104,train,0.463539,0.8514112874928067,gumbel_soft
22,0.47281104,val,0.46461082,0.8516949680441527,gumbel_soft
22,0.47281104,test,0.32876435,0.8811306086183919,gumbel_soft
23,0.46856254,train,0.4722688,0.8466204424981637,gumbel_soft
23,0.46856254,val,0.47812214,0.8448179201913614,gumbel_soft
23,0.46856254,test,0.30921274,0.8839349178143048,gumbel_soft
24,0.46903276,train,0.4681083,0.8503469151917508,gumbel_soft
24,0.46903276,val,0.469494,0.8498511218807231,gumbel_soft
24,0.46903276,test,0.30230382,0.8897267880941804,gumbel_soft
25,0.45979258,train,0.45961532,0.8520592679925705,gumbel_soft
