epoch,epoch_loss,split,loss,acc,sample_fn
12,0.0983053,train,0.09549459,0.9542833333333334,gumbel_soft
12,0.0983053,val,0.26921347,0.8737962962962963,gumbel_soft
12,0.0983053,test,2.5116122,0.7108424213687372,gumbel_soft
13,0.09848056,train,0.09634158,0.9546277777777777,gumbel_soft
13,0.09848056,val,0.25660217,0.8762222222222222,gumbel_soft
13,0.09848056,test,2.6908684,0.7083399188662347,gumbel_soft
14,0.09544636,train,0.09094194,0.9576111111111111,gumbel_soft
14,0.09544636,val,0.40587488,0.7986666666666666,gumbel_soft
14,0.09544636,test,2.895823,0.6846144390004039,gumbel_soft
15,0.0874944,train,0.09707627,0.9546333333333333,gumbel_soft
15,0.0874944,val,0.21434627,0.9046851851851851,gumbel_soft
15,0.0874944,test,2.0500684,0.7266916038845863,gumbel_soft
16,0.09332506,train,0.101625204,0.9555555555555556,gumbel_soft
16,0.09332506,val,0.57818574,0.7560740740740741,gumbel_soft
16,0.09332506,test,3.0619516,0.6739985599634722,gumbel_soft
17,0.0861107,train,0.0873439,0.9590166666666666,gumbel_soft
17,0.0861107,val,0.2587387,0.8815740740740741,gumbel_soft
17,0.0861107,test,2.204136,0.7245139876718824,gumbel_soft
18,0.086064965,train,0.08287722,0.9633222222222222,gumbel_soft
18,0.086064965,val,0.4441945,0.796962962962963,gumbel_soft
18,0.086064965,test,2.4696052,0.6944312733786417,gumbel_soft
19,0.07680642,train,0.079872474,0.9648777777777777,gumbel_soft
19,0.07680642,val,0.4411867,0.803037037037037,gumbel_soft
19,0.07680642,test,2.54295,0.6937727200885095,gumbel_soft
20,0.074472696,train,0.07867297,0.9660833333333333,gumbel_soft
20,0.074472696,val,0.41510254,0.8072962962962963,gumbel_soft
20,0.074472696,test,1.9962733,0.7117468345538521,gumbel_soft
21,0.07961899,train,0.07463879,0.9683222222222222,gumbel_soft
21,0.07961899,val,0.4387312,0.8112592592592592,gumbel_soft
21,0.07961899,test,1.7388824,0.7317668545738721,gumbel_soft
22,0.06804233,train,0.061895836,0.9728333333333333,gumbel_soft
22,0.06804233,val,0.23120251,0.892962962962963,gumbel_soft
22,0.06804233,test,1.3415724,0.7665735911349947,gumbel_soft
23,0.06598219,train,0.07072829,0.9695055555555555,gumbel_soft
23,0.06598219,val,0.15287949,0.9377777777777778,gumbel_soft
23,0.06598219,test,0.6907862,0.8783169134046327,gumbel_soft
24,0.06499343,train,0.055822145,0.9761055555555556,gumbel_soft
24,0.06499343,val,0.25014305,0.8862407407407408,gumbel_soft
24,0.06499343,test,0.9510834,0.8319108582266477,gumbel_soft
25,0.058060985,train,0.0625696,0.97305,gumbel_soft
25,0.058060985,val,0.15891713,0.9327777777777778,gumbel_soft
25,0.058060985,test,0.70050293,0.8736016718472859,gumbel_soft
26,0.058074724,train,0.054198097,0.9773833333333334,gumbel_soft
26,0.058074724,val,0.2268752,0.9017222222222222,gumbel_soft
26,0.058074724,test,0.8659826,0.8338250531232987,gumbel_soft
27,0.05554288,train,0.05936708,0.9758277777777777,gumbel_soft
27,0.05554288,val,0.33861494,0.856925925925926,gumbel_soft
27,0.05554288,test,1.2359506,0.7942503907416189,gumbel_soft
28,0.054825507,train,0.057124488,0.9772333333333333,gumbel_soft
28,0.054825507,val,0.30380234,0.8711296296296296,gumbel_soft
28,0.054825507,test,1.104717,0.81074056512653,gumbel_soft
29,0.052537244,train,0.046955854,0.9807055555555556,gumbel_soft
29,0.052537244,val,0.21346655,0.9088888888888889,gumbel_soft
29,0.052537244,test,0.880546,0.8486381117960066,gumbel_soft
30,0.054718226,train,0.047993943,0.9809555555555556,gumbel_soft
30,0.054718226,val,0.2975162,0.8791851851851852,gumbel_soft
30,0.054718226,test,1.2883493,0.800546160195283,gumbel_soft
31,0.04855761,train,0.04732084,0.98035,gumbel_soft
31,0.04855761,val,0.16361609,0.9323148148148148,gumbel_soft
31,0.04855761,test,0.7891875,0.8477424793214267,gumbel_soft
32,0.050454542,train,0.05087273,0.97975,gumbel_soft
32,0.050454542,val,0.15030415,0.9389444444444445,gumbel_soft
32,0.050454542,test,0.69142556,0.8884235112305288,gumbel_soft
33,0.046273224,train,0.040825758,0.9837,gumbel_soft
