epoch,epoch_loss,split,loss,acc,sample_fn
0,1.5310962,train,0.9615452,0.6560178786358305,gumbel_soft
0,1.5310962,val,0.98355544,0.6571841602560793,gumbel_soft
0,1.5310962,test,1.9974269,0.32769687749040066,gumbel_soft
1,0.76370907,train,0.5935698,0.7820148557673069,gumbel_soft
1,0.76370907,val,0.61720985,0.7759134011392775,gumbel_soft
1,0.76370907,test,3.8734736,0.5133087010070274,gumbel_soft
2,0.49372628,train,0.41449142,0.8581314239803975,gumbel_soft
2,0.49372628,val,0.43893334,0.8519799679900872,gumbel_soft
2,0.49372628,test,6.3371134,0.5658552488589437,gumbel_soft
3,0.35614672,train,0.31021646,0.8961204468427647,gumbel_soft
3,0.35614672,val,0.33486024,0.8931454041681726,gumbel_soft
3,0.35614672,test,7.6068325,0.5883213794102732,gumbel_soft
4,0.28757152,train,0.25593546,0.906823617776437,gumbel_soft
4,0.28757152,val,0.2617542,0.9065689159653743,gumbel_soft
4,0.28757152,test,9.14225,0.6160979497210751,gumbel_soft
5,0.21960999,train,0.19827323,0.9358917923886511,gumbel_soft
5,0.21960999,val,0.19730106,0.9384583612989829,gumbel_soft
5,0.21960999,test,10.662143,0.6523292037962761,gumbel_soft
6,0.1953948,train,0.17235196,0.9446310222651813,gumbel_soft
6,0.1953948,val,0.17354308,0.9417281910957371,gumbel_soft
6,0.1953948,test,12.291904,0.6788234441788017,gumbel_soft
7,0.17444006,train,0.16715705,0.937061537845883,gumbel_soft
7,0.17444006,val,0.20268239,0.920147314437159,gumbel_soft
7,0.17444006,test,15.856035,0.6534738824893139,gumbel_soft
8,0.16476768,train,0.15300593,0.9416543279042778,gumbel_soft
8,0.16476768,val,0.15467048,0.9372020582718089,gumbel_soft
8,0.16476768,test,17.819494,0.6877490400637543,gumbel_soft
9,0.13367638,train,0.13769616,0.9464348928913338,gumbel_soft
9,0.13367638,val,0.12763517,0.9485432047773934,gumbel_soft
9,0.13367638,test,18.72295,0.6942331377236832,gumbel_soft
10,0.12734121,train,0.1498818,0.9388438605294022,gumbel_soft
10,0.12734121,val,0.14658166,0.9369611234446796,gumbel_soft
10,0.12734121,test,22.034933,0.6845178584365718,gumbel_soft
11,0.12974028,train,0.11138557,0.9594775547394699,gumbel_soft
11,0.12974028,val,0.104648955,0.9597466742389041,gumbel_soft
11,0.12974028,test,21.75585,0.6963993334782294,gumbel_soft
12,0.11162362,train,0.10794744,0.9601486192386188,gumbel_soft
12,0.11162362,val,0.099850036,0.9622248610322336,gumbel_soft
12,0.11162362,test,23.873913,0.6986524668550315,gumbel_soft
13,0.10364255,train,0.09707592,0.9651446636520069,gumbel_soft
13,0.10364255,val,0.08876583,0.9704682740461562,gumbel_soft
13,0.10364255,test,27.790802,0.6970658552488589,gumbel_soft
14,0.102029465,train,0.11237401,0.9535734184579676,gumbel_soft
14,0.102029465,val,0.09724136,0.9597466742389041,gumbel_soft
14,0.102029465,test,21.991444,0.6782076360211549,gumbel_soft
15,0.10120385,train,0.098465286,0.9599085135921344,gumbel_soft
15,0.10120385,val,0.09061335,0.9615536854423735,gumbel_soft
15,0.10120385,test,23.879198,0.6908715496631167,gumbel_soft
16,0.09110504,train,0.11287718,0.9509322563466387,gumbel_soft
16,0.09110504,val,0.09472885,0.9568210370523345,gumbel_soft
