feature,value,0,1,2,3,4
attn_0_0_outputs,0,-1.0505021,-0.11945461,0.40311125,-0.07479354,0.70859253
attn_0_0_outputs,1,1.4092108,0.22688475,-0.15200937,-0.496113,0.41994596
attn_0_0_outputs,2,-0.36127535,0.033528537,1.1985111,0.2437418,0.4551279
attn_0_0_outputs,3,-3.621613,-1.7916361,-0.56354636,2.055385,0.3395736
attn_0_0_outputs,4,-0.7641488,0.12254415,-0.056060143,0.11648685,1.2349021
attn_0_0_outputs,</s>,-1.2030371,-1.1492435,-0.26005012,1.1378301,1.2954113
attn_0_0_outputs,<pad>,-1.104076,-1.6082295,0.31322828,1.123946,1.1631337
attn_0_0_outputs,<s>,-0.65305144,-0.57548594,-0.07521724,-0.049283795,1.4370261
attn_0_0_outputs,_,-0.045176703,0.6470334,-0.25903273,0.44869202,-0.3197496
attn_0_0_outputs,_,0.07701697,-0.30247554,-0.25917828,-0.15006532,-0.34837466
attn_0_0_outputs,_,0.2934257,0.0018209416,-0.5031377,0.17715964,0.2025162
attn_0_0_outputs,_,0.080475576,0.21950763,0.64959896,-0.021334661,-0.17241125
attn_0_0_outputs,_,0.6387104,0.12144039,-0.32028046,-0.0792895,-0.09915783
attn_0_0_outputs,_,0.32251418,0.3467118,-0.15337439,-0.17590585,-0.49521774
attn_0_0_outputs,_,1.0106711,0.63499266,0.33646297,-0.45977837,-0.70989686
attn_0_0_outputs,_,0.72786766,-0.19402231,0.19811738,0.10292817,-0.027507268
attn_0_0_outputs,_,0.49740836,-0.13693093,0.7708154,-0.57564896,-0.3006668
attn_0_0_outputs,_,0.644229,0.4304738,-0.019626623,-0.5579359,-0.34938848
attn_0_0_outputs,_,0.92829883,0.44704786,-0.08140332,-0.7355304,-0.6747121
attn_0_0_outputs,_,0.90007365,0.42984143,0.46369216,-0.1005654,-0.86871094
attn_0_0_outputs,_,0.90585643,0.531704,0.2846858,-0.573541,-1.2130245
attn_0_0_outputs,_,0.80427915,0.7261228,0.09454177,-0.18367471,-0.27048725
attn_0_0_outputs,_,0.2762935,0.3538097,0.15998735,-0.52544767,-0.8747901
attn_0_0_outputs,_,0.047167975,0.13481267,-0.04843752,-0.7144309,-1.1313416
attn_0_0_outputs,_,-0.00058075954,0.084026776,0.58361596,-0.040885955,-0.91937584
attn_0_0_outputs,_,0.53694,1.195226,1.3151256,-0.1359549,-0.7923745
attn_0_0_outputs,_,-0.19197361,0.5553467,0.5529066,0.34751797,-1.1986789
attn_0_0_outputs,_,0.3950422,0.98127836,0.62624466,-0.14804047,-0.98319817
attn_0_0_outputs,_,0.4040867,0.14877221,1.0262663,0.21942267,-0.6713027
attn_0_0_outputs,_,-0.033547662,0.46563134,-0.041176036,-0.094242096,-0.79073995
