epoch,epoch_loss,split,loss,acc,sample_fn
0,1.4325526,train,1.0530361,0.6574274186964797,gumbel_soft
0,1.4325526,val,1.0750644,0.6568093190680931,gumbel_soft
0,1.4325526,test,0.74864674,0.7736132083962519,gumbel_soft
1,1.0046982,train,0.9656961,0.6613115979702585,gumbel_soft
1,1.0046982,val,1.0048639,0.6609089091090891,gumbel_soft
1,1.0046982,test,1.0461067,0.5798773963218896,gumbel_soft
2,0.95053566,train,0.93694806,0.6624158392018528,gumbel_soft
2,0.95053566,val,0.9698035,0.6611838816118388,gumbel_soft
2,0.95053566,test,1.3506587,0.5717371521145634,gumbel_soft
3,0.9210534,train,0.8953336,0.6790310175776298,gumbel_soft
3,0.9210534,val,0.911904,0.6781321867813219,gumbel_soft
3,0.9210534,test,1.4232671,0.5791373741212237,gumbel_soft
4,0.88432616,train,0.884819,0.6854244454088055,gumbel_soft
4,0.88432616,val,0.9043496,0.6798070192980702,gumbel_soft
4,0.88432616,test,1.4673502,0.5897376921307639,gumbel_soft
5,0.86270285,train,0.83828264,0.6981812244617361,gumbel_soft
5,0.86270285,val,0.8395868,0.6959304069593041,gumbel_soft
5,0.86270285,test,1.5342371,0.5965378961368841,gumbel_soft
6,0.8400818,train,0.8085717,0.7068432879749419,gumbel_soft
6,0.8400818,val,0.8108539,0.7033046695330467,gumbel_soft
6,0.8400818,test,1.5688992,0.5990979729391882,gumbel_soft
7,0.80789435,train,0.800162,0.7096060393831717,gumbel_soft
7,0.80789435,val,0.80053604,0.7064543545645435,gumbel_soft
7,0.80789435,test,1.4878615,0.6021580647419422,gumbel_soft
8,0.7858416,train,0.76561224,0.7190973579846953,gumbel_soft
8,0.7858416,val,0.7543733,0.7191780821917808,gumbel_soft
8,0.7858416,test,1.8182441,0.6021780653419603,gumbel_soft
9,0.75618273,train,0.74361336,0.7223370384851701,gumbel_soft
9,0.75618273,val,0.7368788,0.7215028497150285,gumbel_soft
9,0.75618273,test,1.8372922,0.6000980029400882,gumbel_soft
10,0.7265021,train,0.7493419,0.7282277572731687,gumbel_soft
10,0.7265021,val,0.7538726,0.7274022597740226,gumbel_soft
10,0.7265021,test,1.6213157,0.6173885216556497,gumbel_soft
11,0.71804357,train,0.6886803,0.7436140913211795,gumbel_soft
11,0.71804357,val,0.6590921,0.7464503549645035,gumbel_soft
11,0.71804357,test,1.7081702,0.6195185855575668,gumbel_soft
12,0.66718477,train,0.6724525,0.7504199983672698,gumbel_soft
12,0.66718477,val,0.6327694,0.7535496450354965,gumbel_soft
12,0.66718477,test,1.6470137,0.6238887166614998,gumbel_soft
13,0.6495592,train,0.6136561,0.7620811295055835,gumbel_soft
13,0.6495592,val,0.60061365,0.75999900009999,gumbel_soft
13,0.6495592,test,1.612032,0.6245987379621388,gumbel_soft
14,0.61644787,train,0.6040119,0.7640060325085182,gumbel_soft
14,0.61644787,val,0.5899444,0.7633986601339866,gumbel_soft
14,0.61644787,test,1.9338032,0.6175585267558027,gumbel_soft
15,0.60710365,train,0.62477636,0.7558767546479103,gumbel_soft
15,0.60710365,val,0.60777074,0.7554994500549945,gumbel_soft
15,0.60710365,test,2.108768,0.6179585387561627,gumbel_soft
16,0.5952516,train,0.56294066,0.7794568164338593,gumbel_soft
16,0.5952516,val,0.5365525,0.7804719528047195,gumbel_soft
16,0.5952516,test,2.3226807,0.6223686710601318,gumbel_soft
17,0.5760224,train,0.56536704,0.7753105409922703,gumbel_soft
17,0.5760224,val,0.53817654,0.7763223677632237,gumbel_soft
17,0.5760224,test,2.6555984,0.6176085282558477,gumbel_soft
18,0.5620458,train,0.5719546,0.773604767572259,gumbel_soft
18,0.5620458,val,0.5837201,0.7713978602139786,gumbel_soft
18,0.5620458,test,2.6977675,0.6154284628538856,gumbel_soft
19,0.5652643,train,0.5629805,0.7754952973072842,gumbel_soft
19,0.5652643,val,0.5478783,0.7764723527647235,gumbel_soft
19,0.5652643,test,2.5987036,0.6206286188585658,gumbel_soft
20,0.552524,train,0.5420309,0.7837663648980188,gumbel_soft
20,0.552524,val,0.52551806,0.7835216478352165,gumbel_soft
20,0.552524,test,2.6154027,0.6237087112613379,gumbel_soft
21,0.54966146,train,0.5387811,0.7827050902513115,gumbel_soft
21,0.54966146,val,0.5206233,0.7822717728227178,gumbel_soft
21,0.54966146,test,2.9369493,0.6205286158584757,gumbel_soft
22,0.53894526,train,0.54528546,0.7793665866055969,gumbel_soft
22,0.53894526,val,0.52414596,0.7811718828117188,gumbel_soft
22,0.53894526,test,3.1513476,0.6235187055611668,gumbel_soft
23,0.54145426,train,0.53261477,0.7849221660314774,gumbel_soft
23,0.54145426,val,0.5087272,0.7852964703529647,gumbel_soft
23,0.54145426,test,3.109582,0.6218386551596548,gumbel_soft
24,0.5271959,train,0.5426362,0.7798048457714436,gumbel_soft
24,0.5271959,val,0.5146565,0.7809219078092191,gumbel_soft
24,0.5271959,test,3.3277466,0.6187385621568647,gumbel_soft
25,0.53933376,train,0.5411788,0.7811969631217802,gumbel_soft
25,0.53933376,val,0.51498365,0.7820967903209679,gumbel_soft
25,0.53933376,test,3.3785264,0.6207386221586647,gumbel_soft
26,0.5377667,train,0.529977,0.7836417618018467,gumbel_soft
26,0.5377667,val,0.5048444,0.7835466453354665,gumbel_soft
26,0.5377667,test,3.8431401,0.6201286038581157,gumbel_soft
27,0.5381838,train,0.5229583,0.7849006827390339,gumbel_soft
27,0.5381838,val,0.49666736,0.7871962803719628,gumbel_soft
27,0.5381838,test,3.8578324,0.6214586437593128,gumbel_soft
28,0.528158,train,0.5349504,0.7806856607616257,gumbel_soft
28,0.528158,val,0.51166147,0.7852714728527147,gumbel_soft
28,0.528158,test,3.5894496,0.6197285918577558,gumbel_soft
29,0.52902186,train,0.51656836,0.7868255857419685,gumbel_soft
29,0.52902186,val,0.5010825,0.7885711428857114,gumbel_soft
29,0.52902186,test,3.7653153,0.6232586977609328,gumbel_soft
30,0.5205108,train,0.5287281,0.7835987952169597,gumbel_soft
