feature,value,0,1,2,3,4
attn_0_0_outputs,0,-1.1880234,-0.7921012,0.0009691633,0.32681763,0.46023625
attn_0_0_outputs,1,-1.2808973,-0.4938108,0.08159369,0.89911103,0.4804171
attn_0_0_outputs,2,-1.7842201,-0.40363127,0.6231875,0.7920495,1.0029354
attn_0_0_outputs,3,-1.7079349,-0.93210447,0.20738803,0.5389437,0.68576384
attn_0_0_outputs,4,-1.7353581,-0.8222285,0.28248626,0.5611507,0.9950661
attn_0_0_outputs,</s>,-1.4979304,-0.78211856,0.40569603,-0.32988974,-0.42099229
attn_0_0_outputs,<pad>,-0.6780434,0.3712787,0.18941627,-0.019683622,-0.9711191
attn_0_0_outputs,<s>,-1.0090557,-0.94607306,0.1375762,-0.008849166,0.18899462
attn_0_0_outputs,_,0.06743875,0.1497464,-0.96605295,0.34853724,-0.6001973
attn_0_0_outputs,_,-0.97730464,-0.69488496,0.9183566,0.5457484,-0.73645353
attn_0_0_outputs,_,-0.88159233,-1.288615,0.5365059,-0.30981296,0.28139904
attn_0_0_outputs,_,-0.050996028,-1.7364111,-0.8024517,0.59971446,-0.656193
attn_0_0_outputs,_,-1.0351651,0.35114565,-0.1002341,0.4017413,-0.7733294
attn_0_0_outputs,_,0.24159254,-1.2006657,0.47482055,0.27180323,-1.3144616
attn_0_0_outputs,_,1.6054381,-0.8606442,-0.49834788,0.9362552,-1.1761465
attn_0_0_outputs,_,-0.52718157,-2.6904569,-0.7025165,0.7342126,-0.59832025
attn_0_0_outputs,_,0.7671992,-0.3730283,1.6667858,0.25522667,-0.071194425
attn_0_0_outputs,_,-0.1764901,-0.17284518,-0.1391916,0.5623035,-0.70523
attn_0_0_outputs,_,-0.2667478,0.6361927,-1.2769539,1.4588972,-1.3477546
attn_0_0_outputs,_,-0.47566557,0.99001026,0.83972055,-0.58091307,-1.1831383
attn_0_0_outputs,_,0.28396672,-0.013662298,-0.051984932,0.4081225,0.46409824
attn_0_0_outputs,_,0.6790319,-0.55298275,0.32433254,0.1799623,0.56600976
attn_0_0_outputs,_,-0.6728667,-0.49239248,-0.33494568,0.1039111,-0.47685763
attn_0_0_outputs,_,-0.31231946,0.52392954,0.3906444,-0.20752569,-0.30025643
attn_0_0_outputs,_,-0.3258358,-0.8403089,-0.135842,-0.22219184,0.15560907
attn_0_0_outputs,_,0.48920077,-0.1363703,-0.33233994,-0.98484737,0.12031447
attn_0_0_outputs,_,-0.046340723,-0.07853244,-0.04001959,0.69586015,0.5370191
attn_0_0_outputs,_,0.3671076,-0.79733086,0.3488386,0.33003742,-0.15276939
attn_0_0_outputs,_,0.23605849,-0.04157851,0.3662706,0.09622918,-0.65192235
attn_0_0_outputs,_,0.037744794,-0.40813994,0.2422726,-0.66899645,-0.14110054
attn_0_1_outputs,0,-0.23006608,-0.08577834,0.055150516,-0.1829952,-0.6534284
attn_0_1_outputs,1,-1.5707082,-0.4919303,0.57695454,0.39910662,-0.27956206
attn_0_1_outputs,2,-1.5292754,-0.014242971,1.1388252,0.11058265,-0.90674955
attn_0_1_outputs,3,-1.5178192,-0.716131,0.35283008,0.60990644,-0.790347
attn_0_1_outputs,4,-2.3612957,-1.6037468,-0.23167521,0.19889517,0.71231055
attn_0_1_outputs,</s>,-6.423151,-2.9155264,-1.3529454,1.6273811,6.769207
attn_0_1_outputs,<pad>,-0.25411093,-0.01662958,-0.014583008,0.40118015,0.80392736
attn_0_1_outputs,<s>,-1.0831672,-0.22409865,1.0733784,0.031539172,-0.048270296
attn_0_1_outputs,_,0.15364678,0.60667163,0.22703525,-0.24747406,-0.16286276
attn_0_1_outputs,_,1.0797031,-0.30913165,0.21966662,-0.6762541,-0.8070332
attn_0_1_outputs,_,0.5369341,0.4170597,-0.0028329552,-0.6875243,-1.3447349
attn_0_1_outputs,_,0.46478432,-0.20451905,0.3413597,-0.26208287,-0.4441914
attn_0_1_outputs,_,1.3466421,0.5699403,0.23606504,-0.46248525,-0.58959275
attn_0_1_outputs,_,1.1608734,0.47255084,-0.17496763,-0.032805566,-0.88925713
attn_0_1_outputs,_,0.61101973,0.47967368,0.017080896,-0.80019736,-1.2131771
attn_0_1_outputs,_,1.1664971,0.10666389,-0.067552805,-0.38629162,-0.7395857
attn_0_1_outputs,_,0.66593516,0.7620617,1.0118952,-0.7912228,-1.1707667
attn_0_1_outputs,_,0.6840931,-0.13094965,1.3853548,0.45175648,-0.7310032
attn_0_1_outputs,_,0.23810834,1.1010337,0.40098026,-0.2246553,-1.831006
attn_0_1_outputs,_,-0.04796297,-0.13389312,0.6794708,-0.5752197,-0.8027286
attn_0_1_outputs,_,-0.011859024,0.8356697,-0.11209222,0.47292936,-0.42125633
attn_0_1_outputs,_,-0.26956934,0.103876136,-0.55878454,0.49286088,0.28259724
attn_0_1_outputs,_,0.21205235,0.4209953,0.2915014,0.53494096,-0.66883373
attn_0_1_outputs,_,-0.7548056,-0.13417062,-0.027159898,0.21870221,-0.3191067
attn_0_1_outputs,_,-0.12741742,0.35455418,-0.116852045,0.29008636,0.009707014
attn_0_1_outputs,_,0.15205033,-0.035778992,-0.32552117,-0.036610257,0.7167485
attn_0_1_outputs,_,0.33036482,-0.40309688,-0.23151883,0.24177969,-0.08432981
attn_0_1_outputs,_,0.16307385,0.28651255,-0.11010717,0.07777608,0.19767599
attn_0_1_outputs,_,0.25057152,-0.20023489,0.018181026,0.6619457,-0.1055513
attn_0_1_outputs,_,-0.020040253,-0.5863085,-0.05218208,-0.18461598,0.37274653
attn_0_2_outputs,0,-2.8994174,-6.9281726,4.3229585,3.3918257,0.9360918
attn_0_2_outputs,1,-0.88415897,1.9902393,-1.2288811,1.3788496,-0.86166143
attn_0_2_outputs,2,-0.699307,1.9499995,0.753042,0.75938475,-1.1292785
attn_0_2_outputs,3,-0.727324,-0.066417515,0.44911888,0.71123147,-0.45116985
attn_0_2_outputs,4,-2.0791988,-0.8354345,-0.2962203,-0.58419126,2.0993714
attn_0_2_outputs,</s>,0.40097526,-0.40429983,-0.060412742,0.592762,-0.9277636
attn_0_2_outputs,<pad>,0.12060726,0.2843564,-0.8059969,0.34482256,0.79353446
attn_0_2_outputs,<s>,1.0336579,2.1304011,1.0947115,0.14966574,-4.9955263
attn_0_2_outputs,_,1.2782454,0.5806067,-0.019835694,-0.7070133,0.3546151
attn_0_2_outputs,_,0.64444506,1.0869476,0.89575624,-0.08971453,0.02204862
attn_0_2_outputs,_,0.5991522,-0.3649124,0.18586785,0.9173179,0.27059814
attn_0_2_outputs,_,0.6547446,0.5733367,-0.15494074,-0.19598705,-0.51911193
attn_0_2_outputs,_,0.79894274,0.48966897,0.7989583,0.066313975,-0.043214247
attn_0_2_outputs,_,0.15768655,0.95760375,-0.14519788,1.0652702,-1.098501
attn_0_2_outputs,_,0.7151168,0.41993335,0.4403231,-0.25168633,-0.6471756
attn_0_2_outputs,_,0.69034374,1.3482757,-0.23209201,-0.85071737,-1.0030291
attn_0_2_outputs,_,0.40370306,0.6319617,0.23970161,-0.46073443,-1.0240881
attn_0_2_outputs,_,0.17964263,0.6876431,0.45136148,0.47384334,-0.89243084
attn_0_2_outputs,_,0.606787,1.4099853,0.7860723,-0.19652188,-0.88257533
attn_0_2_outputs,_,-0.037350968,0.68430185,0.51095337,0.15432386,0.14697462
attn_0_2_outputs,_,-0.48165712,-0.0010300666,0.06933936,0.20779277,0.4108391
attn_0_2_outputs,_,-0.51671743,-0.025474826,-0.09714236,-0.031663086,0.8067772
attn_0_2_outputs,_,0.114853755,-0.32055378,-0.2965593,0.12493139,-0.03194567
attn_0_2_outputs,_,-0.4194799,-0.56221116,-0.46431747,0.16438828,-0.23499003
attn_0_2_outputs,_,-0.5536436,0.27457199,-0.05219877,-0.3601171,-0.78914297
attn_0_2_outputs,_,0.7361193,-0.87580484,-0.23457812,-0.01218013,1.5269288
attn_0_2_outputs,_,-0.4180354,-0.55958754,0.49703664,-0.14802553,0.14889124
attn_0_2_outputs,_,0.2766849,0.27965954,0.34194693,-0.2242723,-0.32071713
attn_0_2_outputs,_,0.27607632,-0.6350222,-0.5203826,-1.000141,0.21733208
attn_0_2_outputs,_,-0.009248358,-0.5389386,0.105074294,0.27356786,0.48696345
attn_0_3_outputs,0,2.9540722,-0.95816576,-0.3282025,-1.0253662,-0.5212491
attn_0_3_outputs,1,5.821917,5.6851997,0.608059,-2.9801583,-3.6516056
attn_0_3_outputs,2,-3.4345717,-1.2141048,0.74235183,0.4843684,0.96496135
attn_0_3_outputs,3,-1.0194039,-1.2945694,-0.23879442,0.93179387,0.72489464
attn_0_3_outputs,4,-4.702962,-2.4655988,-0.10095371,0.21788105,1.2052244
attn_0_3_outputs,</s>,-1.3454455,0.24346592,0.23228523,0.19122106,1.1548072
attn_0_3_outputs,<pad>,-0.16201599,-0.015806299,0.70248425,-0.34072578,0.5828857
attn_0_3_outputs,<s>,-3.7055962,-0.79952633,0.35263094,1.3265924,2.0332017
attn_0_3_outputs,_,0.8459553,0.36125156,1.280476,-0.9216146,0.36694843
attn_0_3_outputs,_,0.3324101,-0.05956846,0.1035478,-0.5273395,0.81928855
attn_0_3_outputs,_,0.6268927,-0.38863686,1.0543483,-1.228807,-0.33397132
attn_0_3_outputs,_,0.2383941,-0.7475905,0.9722914,-1.2966021,-0.40798306
attn_0_3_outputs,_,0.5844629,-0.56841666,1.4328897,-0.73774445,0.44207752
attn_0_3_outputs,_,-0.23847604,-0.3913726,1.3719817,-1.4377109,-0.021088755
attn_0_3_outputs,_,0.13033107,-0.44763637,0.37631658,-0.40389544,0.46294948
attn_0_3_outputs,_,0.89164853,-0.044288483,-0.50081366,-0.6146328,0.54638165
attn_0_3_outputs,_,0.6346618,0.05849304,-0.062497593,-1.3832687,1.1261934
attn_0_3_outputs,_,0.8069031,0.76305485,0.57806426,-1.5683914,0.8408811
attn_0_3_outputs,_,0.20592344,0.8186085,1.6576071,-1.80209,0.81367916
attn_0_3_outputs,_,-1.0304947,0.4617283,1.0016276,-0.8371465,0.17101376
attn_0_3_outputs,_,-0.70584,-0.40300563,0.32109132,-0.5398816,0.31779054
attn_0_3_outputs,_,0.2152523,0.62046945,0.51747394,0.012776226,0.8381273
attn_0_3_outputs,_,-0.78997207,0.29493162,0.80734396,0.43655005,0.29235253
attn_0_3_outputs,_,0.4750719,-0.803447,0.15328217,-0.19426824,0.46028435
attn_0_3_outputs,_,-0.24328384,0.2930332,-0.10704604,-0.22986734,-0.17275912
attn_0_3_outputs,_,-0.010268703,-0.4827029,-0.3355453,-0.09971141,0.47966653
attn_0_3_outputs,_,0.455825,-0.5236196,-0.057080533,0.21402842,0.05833242
attn_0_3_outputs,_,-0.032787926,-0.09778403,0.2970489,-0.33053812,0.17554279
attn_0_3_outputs,_,0.2518068,0.023444591,-0.4245357,0.18009254,0.47454002
attn_0_3_outputs,_,0.027312942,-0.33362147,0.7993905,-0.16813114,0.8701481
attn_0_4_outputs,0,-0.5790988,-0.4385359,0.3959568,0.603111,0.25663707
attn_0_4_outputs,1,-3.071484,0.81837153,0.71971834,0.55710506,0.44515154
attn_0_4_outputs,2,-2.93212,-0.6613541,2.0893795,-0.20273972,-0.5876465
attn_0_4_outputs,3,-1.3633853,-1.3192484,-0.5443506,1.6408813,0.92725044
attn_0_4_outputs,4,-0.101733655,-2.2732008,-1.4798821,0.3997278,1.2197055
attn_0_4_outputs,</s>,-2.3357217,-1.5372974,0.2851344,1.1435691,1.1586311
attn_0_4_outputs,<pad>,-0.608008,-0.489565,0.055853017,0.30902073,-0.13810462
attn_0_4_outputs,<s>,-1.9043183,-1.6821061,-0.252374,0.32368866,0.2542076
attn_0_4_outputs,_,-0.51017016,0.7399046,-0.6149804,0.47235215,-0.05250921
attn_0_4_outputs,_,-0.13360515,0.5594791,-0.31547737,0.13158692,-0.6963948
attn_0_4_outputs,_,0.9979031,0.83904034,-0.42144015,0.11694149,-1.1565098
attn_0_4_outputs,_,-0.5678104,0.5870589,-0.7295714,-0.07420601,-0.66830766
attn_0_4_outputs,_,0.7117234,0.84589803,-0.68723994,0.68770915,-0.58996975
